实盘次数,交易模式,备注,实盘结局,开仓时间,收益率
"                       No.1",隔日,"1、大周期趋势压制、没有盈利空间
2、前面这位置震荡时间长、需要较大买盘才能消化
3、太晚了熬不住、明天要早上班，定好止盈止损睡觉。",正常止损,2025/05/17,-3.63%
No.2,日内,,正常盈利,2025/05/18,1.64%
No.3,日内,1、虽然盈利了但有点着急、属于左侧交易、这单违反了纪律，这单积累的经验就是一定要耐心等信号，不要慌、没有信号就别动，纪律第一，继续磨练，还好运气好盈利了，万一亏了呢？万一是大资金进入亏了呢？左侧那位置连个止损都不好挂，失败。,正常盈利,2025/05/18,1.78%
No.4,日内,,正常盈利,2025/05/19,2.77%
No.5,日内,,正常盈利,2025/05/19,2.83%
No.6,日内,1、大周期4H压制,正常止损,2025/05/21,-3.35%
No.7,日内,1、不但把上一单的亏损补齐、而且还多赚了,正常盈利,2025/05/21,6.73%
No.8,日内,,正常止损,2025/05/22,-3.24%
No.9,日内,1、这一空单本来是可以盈利的，晚上太晚了不想过夜，所以设了一个保本损，第二天醒来发行行情下跌、但是回调已经保本损了,保本止损,2025/05/24,-0.2%
No.10,日内,完美一单，空在高点、平在低点,正常盈利,2025/05/25,4.71%
No.11,日内,,正常盈利,2025/05/26,1.85%
No.12,日内,1、可惜了、刚止损就跌下去了，不过不后悔、得坚持自己得模式。,正常止损,2025/05/28,
No.13,日内,信号来了就开、没啥犹豫,正常盈利,2025/05/28,
No.17,日内,"连损两单、这单虽然形态上是要大跌的节奏，心里也在犹豫要不要撤掉止损，
要是刚止损完就开始大跌？岂不亏大发了，但理性和计划告诉自己不能依靠运气，
必须要坚定的做好止损。",正常止损,2025/06/01,
No.16,日内,,正常止损,2025/06/01,
No.15,日内,运气单,正常盈利,2025/05/30,
No.14,日内,运气好得很，刚开电脑就来信号。,正常盈利,2025/05/29,
No.18,隔日,,正常盈利,2025/06/01,
No.19,日内,没有警报好烦啊，本来可以多赚一点，这单是二次机会才进场，错过最佳机会，不过好在刚止盈就反弹也算有点成就感。,正常盈利,2025/06/03,
No.20,日内,,正常止损,2025/06/03,
No.21,日内,方向错了、回调自动止损,保本止损,2025/06/03,
No.22,日内,,正常止损,2025/06/08,
No.23,日内,,正常止损,2025/06/08,
No.24,日内,,正常止损,2025/06/08,
No.25,日内,,正常止损,2025/06/09,
No.26,日内,一把就把前面的损失全部赚回,正常盈利,2025/06/10,
No.27,日内,,正常盈利,2025/06/10,
No.28,日内,,正常止损,2025/06/11,
No.29,日内,,正常止损,2025/06/11,
No.30,日内,,正常盈利,2025/06/11,
No.31,日内,,正常止损,2025/06/11,
No.32,日内,,正常盈利,2025/06/11,
No.33,日内,,正常止损,2025/06/15,
No.34,日内,这么低的胜率、居然还有钱赚？,正常盈利,2025/06/16,
No.35,日内,,保本止损,2025/06/19,
No.36,日内,,保本止损,2025/06/21,
No.37,日内,,正常盈利,2025/06/22,
No.38,日内,,正常止损,2025/06/25,
No.39,隔日,,正常盈利,2025/06/25,
No.40,日内,资金创下新高,正常盈利,2025/07/02,
No.41,日内,ETH差0.5止损，惊险,正常盈利,2025/07/05,
No.42,日内,,正常止损,2025/07/13,
No.43,日内,,正常止损,2025/07/13,
No.44,日内,,正常盈利,2025/07/14,
No.45,日内,资金继续新高,正常盈利,2025/07/16,
No.46,日内,,正常盈利,2025/07/19,
No.47,日内,运气单,正常盈利,2025/07/21,
No.48,日内,空单平在最低点,正常盈利,2025/07/21,
No.49,日内,今天三单全部盈利,正常盈利,2025/07/21,
No.50,日内,扛单罪该万死，虽然这一单是利润最多的一单。,正常盈利,2025/07/22,
No.51,隔日,,正常盈利,2025/08/01,
No.52,隔日,就差一丝丝就打损了,正常盈利,2025/08/02,
No.53,日内,连赢十单、换做以前我会很兴奋，现在我反而有危机感，不符合数学规律。,正常盈利,2025/08/06,
No.54,日内,打损后又回来了后悔不？100%不后悔！！！损了就是损了，等下一单就行,正常止损,2025/08/06,
No.55,日内,,正常盈利,2025/08/07,
No.56,日内,,正常止损,2025/08/07,
No.57,日内,,正常盈利,2025/08/09,
No.58,日内,,正常止损,2025/08/10,
No.59,日内,,正常盈利,2025/08/11,
No.60,日内,,正常盈利,2025/08/13,
No.61,日内,这套策略真实的极限啊，每次都是空单平在最低点，看来以后这套打法更要严格执行纪律。,正常盈利,2025/08/14,
No.62,日内,,正常盈利,2025/08/15,
No.63,日内,,正常止损,2025/08/16,
No.64,日内,,正常盈利,2025/08/17,
No.65,日内,,正常止损,2025/08/17,
No.66,日内,,正常盈利,2025/08/17,
No.67,日内,,正常盈利,2025/08/18,
No.68,日内,,正常止损,2025/08/21,
No.69,隔日,,正常盈利,2025/08/23,
No.70,日内,,正常止损,2025/08/28,
No.71,日内,,正常盈利,2025/08/29,
No.72,隔日,,正常止损,2025/08/30,
No.73,日内,,正常盈利,2025/08/31,
No.74,日内,,正常止损,2025/08/31,
No.75,日内,又是极限止盈,正常盈利,2025/09/03,
No.76,日内,,正常止损,2025/09/06,
No.77,隔日,资金历史新高,正常盈利,2025/09/06,
No.78,日内,,正常盈利,2025/10/09,
No.79,日内,,正常止损,2025/10/11,
No.80,日内,,正常盈利,2025/10/12,
No.81,日内,,正常止损,2025/10/16,
No.82,日内,,正常盈利,2025/10/21,
No.83,日内,,正常盈利,2025/10/22,
No.84,隔日,新的里程碑、资金过百了,正常盈利,2025/10/29,
No.85,日内,,正常止损,2025/11/01,
No.86,隔日,运气单、大赚,正常盈利,2025/11/01,
No.87,日内,又是平在最低点、狗屎运,正常盈利,2025/11/06,
No.88,隔日,,正常盈利,2025/11/08,
No.89,日内,感觉单、在上班没看技术、直开自动止盈,正常盈利,2025/11/09,
No.90,日内,,正常盈利,2025/11/09,
No.91,日内,打损就开始跌、无所谓了,正常止损,2025/11/10,
No.92,日内,,正常止损,2025/11/11,
No.93,日内,,正常盈利,2025/11/11,
No.94,隔日,,正常盈利,2025/11/12,
No.95,隔日,方向对了，但是反弹时扛单了,正常盈利,2025/11/15,
No.96,日内,,正常止损,2025/11/19,
No.97,日内,,正常盈利,2025/11/19,
No.98,日内,,正常止损,2025/11/19,
No.99,日内,,正常盈利,2025/11/20,
No.100,隔日,,正常止损,2025/11/28,
